name,SC_bor_SC_bor_L0063_COIF,SC_bor_SC_bor_L0086_COI,SC_bor_SC_bor_L0117_ANOSCOIF,SC_bor_SC_bor_L0224_COI,SC_bor_SC_bor_L0899_COIF,SC_bor_SC_bor_L1176_COIF,SC_bor_SC_bor_L1177_COIF,SC_dis_SC_dis_B022_COI,SC_dis_SC_dis_B023_COI,SC_dis_SC_dis_B024_COI,SC_dis_SC_dis_B025_COI,SC_dis_SC_dis_B026_COIF,SC_dis_SC_dis_B027_COIF,SC_dis_SC_dis_L236_COI,SC_dis_SC_dis_L237_COI,SC_dis_SC_dis_L239_COIF,SC_dis_SC_dis_L242_COIF,SC_dis_SC_dis_L260_COI,SC_dis_SC_dis_L261_COIF,SC_dis_SC_dis_L262_COI,SC_dis_SC_dis_L263_COI,SC_dis_SC_dis_L264_COI,SC_dis_SC_dis_L265_COIF,SC_fas_SC_fas_B011_COI,SC_fas_SC_fas_L0544_COIF,SC_fas_SC_fas_L0629_COIF,SC_fas_SC_fas_L0650_COIF,SC_fas_SC_fas_L082_COI,SC_fas_SC_fas_L0936_COIF,SC_fas_SC_fas_L0951_COI,SC_fas_SC_fas_L0968_COIF,SC_fas_SC_fas_L259_COIF,SC_fas_SC_fas_L541_COI,SC_fas_SC_fas_L542_COI,SC_fas_SC_fas_L626_COI,SC_fas_SC_fas_L698_COI,SC_fas_SC_fas_L918_COI,SC_int_SC_int_B014_COI,SC_int_SC_int_B015_COI,SC_int_SC_int_L012_COIF,SC_int_SC_int_L0217_COI,SC_int_SC_int_L1201_COIF,SC_int_SC_int_L214_COI,SC_int_SC_int_L219_COIF,SC_int_SC_int_L372_COI,SC_jac_SC_jac_L546_COI,SC_kne_SC_kne_B012_COI,SC_kne_SC_kne_L0857_COIF,SC_kne_SC_kne_L0866_COIF,SC_kne_SC_kne_L270_COIF,SC_kne_SC_kne_L361_COI,SC_kne_SC_kne_L363_COI,SC_kne_SC_kne_L365_COI,SC_nas_SC_nas_B016_COI,SC_nas_SC_nas_B017_COI,SC_nas_SC_nas_B018_COI,SC_nas_SC_nas_B019_COI,SC_nas_SC_nas_L0926_COIF,SC_nas_SC_nas_L1066_COI,SC_nas_SC_nas_L1093_ANOSCOIF,SC_nas_SC_nas_L1099_ANOSCOIF,SC_nas_SC_nas_L1100_ANOSCOIF,SC_nas_SC_nas_L1103_ANOSCOIF,SC_nas_SC_nas_L1111_ANOSCOIF,SC_nas_SC_nas_L1178_FISHF,SC_nas_SC_nas_L1179_COIF,SC_nas_SC_nas_L243_COI,SC_nas_SC_nas_L244_COIF,SC_nas_SC_nas_L245_COIF,SC_nas_SC_nas_L889_COI,SC_pla_SC_pla_B135,SC_pla_SC_pla_B136,SC_pla_SC_pla_B137,SC_pla_SC_pla_B138,SC_pla_SC_pla_B139,SC_sco_SC_sco_B156_COI,SC_sco_SC_sco_B214,SC_sco_SC_sco_L0906_COIF,SC_sco_SC_sco_L905_COI,SC_vit_SC_vit_L0613_COIF,SC_vit_SC_vit_L0750_COIF,SC_vit_SC_vit_L100_COI,SC_vit_SC_vit_L197_COIF,SC_vit_SC_vit_L205_COIF,SC_vit_SC_vit_L206_COIF,SC_vit_SC_vit_L207_COI,SC_vit_SC_vit_L208_COIF,SC_vit_SC_vit_L209_COIF,SC_vit_SC_vit_L380_COI,SC_vit_SC_vit_L558_COI,SC_vit_SC_vit_L733_COIF
SC_pla_SC_pla_B137,9.82917,9.8447,9.82917,9.82917,9.82917,9.8447,10.05542,12.61411,12.61411,12.61411,12.61411,12.61411,12.61411,11.9032,12.37602,11.9032,11.9032,11.9032,11.9032,11.9032,11.9032,11.9032,11.9032,10.74036,10.74036,10.74036,10.74036,10.97077,10.97077,10.74036,10.74036,10.97077,10.74036,10.74036,10.74036,10.74036,10.74036,10.07146,10.07146,10.07146,10.07146,10.07146,10.07146,10.07146,10.07146,0.0,7.65507,7.65507,7.43815,7.43815,7.43815,7.43815,7.43815,7.21124,7.21124,7.21124,7.21124,7.42675,6.99664,7.21124,7.21124,7.21124,7.21124,6.99664,7.21124,7.84887,7.6432,7.6432,7.6432,7.42675,0.19084,0.0,0.0,0.1912,0.0,11.18423,11.18423,11.41625,11.18423,10.511,10.74036,10.04001,9.81428,10.26677,9.81428,10.26677,10.04001,10.04001,10.04001,10.28269,10.74036
SC_pla_SC_pla_B138,9.72558,9.73807,9.72558,9.72558,9.72558,9.73807,9.92052,12.77005,12.77005,12.77005,12.77005,13.64611,12.96017,12.15149,12.56301,12.15149,12.15149,12.15149,12.15149,12.15149,12.15149,12.15149,12.15149,10.73725,10.53844,10.73725,10.73725,10.73725,10.73725,10.73725,10.73725,10.93685,10.73725,10.73725,10.73725,10.73725,10.73725,10.11621,10.11621,10.11621,10.11621,10.11621,10.11621,10.11621,10.29953,0.16367,7.2922,7.34328,7.26993,7.10598,7.10598,7.10598,7.10598,6.36796,6.92045,6.77073,6.36796,6.92045,6.18514,6.49099,6.47961,6.54541,6.7356,6.18514,6.7356,7.4696,6.7356,6.7356,6.7356,6.92045,0.34188,0.16978,0.1912,0.0,0.16722,10.53826,10.53826,10.93685,10.73725,10.34042,10.53844,10.12946,9.73807,10.32631,9.93338,10.32631,10.12946,10.12946,9.93338,10.14318,10.53844
SC_pla_SC_pla_B139,9.22663,9.2382,9.22663,9.22663,9.22663,9.2382,9.42119,12.45216,12.45216,12.45216,12.45216,13.08133,12.61464,11.83359,12.24512,11.83359,11.83359,11.83359,11.83359,11.83359,11.83359,11.83359,11.83359,10.43373,10.23453,10.43373,10.43373,10.43373,10.43373,10.43373,10.43373,10.63373,10.43373,10.43373,10.43373,10.43373,10.43373,9.6165,9.6165,9.6165,9.6165,9.6165,9.6165,9.6165,9.80035,0.0,7.54484,7.58483,7.49296,7.35616,7.35616,7.35616,7.35616,6.79435,7.35616,7.20604,6.79435,7.35616,6.60848,6.91499,6.91499,6.97275,7.16819,6.60848,7.16819,7.53515,7.16819,7.16819,7.16819,7.35616,0.17153,0.0,0.0,0.16722,0.0,9.81386,9.81386,10.23453,10.03612,9.64164,9.83849,9.62883,9.43313,10.02253,9.43313,10.02253,9.62883,9.62883,9.62883,9.44556,9.83849
SC_sco_SC_sco_B156_COI,4.64998,4.47552,4.64998,4.64998,4.64998,4.47552,4.47013,5.56647,5.56647,5.56647,5.56647,5.77225,5.6451,5.38298,5.38298,5.38298,5.38298,5.38298,5.38298,5.38298,5.38298,5.38298,5.38298,3.94371,4.30149,3.94371,3.94371,4.12228,4.12228,3.94371,3.94371,4.12228,3.94371,3.94371,3.94371,3.94371,3.94371,4.11234,4.11234,4.11234,4.11234,4.11234,4.11234,4.11234,4.2863,10.10881,8.53697,8.59827,8.58969,8.34392,8.34392,8.34392,8.34392,7.98067,8.17298,8.17298,7.98067,8.36603,8.17298,8.15455,7.98067,8.13977,8.17298,8.17298,8.17298,8.35473,7.7891,7.7891,7.7891,8.36603,9.83535,10.18256,11.18423,10.53826,9.81386,0.0,0.0,0.16611,0.0,4.12228,3.58847,4.83653,5.20017,5.01802,4.6557,5.01802,4.83653,4.83653,5.20017,4.30149,3.58847
SC_sco_SC_sco_B214,4.64998,4.47552,4.64998,4.64998,4.64998,4.47552,4.47013,5.56647,5.56647,5.56647,5.56647,5.77225,5.6451,5.38298,5.38298,5.38298,5.38298,5.38298,5.38298,5.38298,5.38298,5.38298,5.38298,3.94371,4.30149,3.94371,3.94371,4.12228,4.12228,3.94371,3.94371,4.12228,3.94371,3.94371,3.94371,3.94371,3.94371,4.11234,4.11234,4.11234,4.11234,4.11234,4.11234,4.11234,4.2863,10.10881,8.53697,8.59827,8.58969,8.34392,8.34392,8.34392,8.34392,7.98067,8.17298,8.17298,7.98067,8.36603,8.17298,8.15455,7.98067,8.13977,8.17298,8.17298,8.17298,8.35473,7.7891,7.7891,7.7891,8.36603,9.83535,10.18256,11.18423,10.53826,9.81386,0.0,0.0,0.16611,0.0,4.12228,3.58847,4.83653,5.20017,5.01802,4.6557,5.01802,4.83653,4.83653,5.20017,4.30149,3.58847
SC_sco_SC_sco_L0906_COIF,4.98615,4.8178,4.98615,4.98615,4.98615,4.8178,4.81193,5.69655,5.69655,5.69655,5.69655,5.90317,5.77402,5.51956,5.51956,5.51956,5.51956,5.51956,5.51956,5.51956,5.51956,5.51956,5.51956,4.30323,4.82407,4.30323,4.30323,4.64986,4.64986,4.30323,4.30323,4.47625,4.30323,4.30323,4.30323,4.30323,4.30323,4.46531,4.46531,4.46531,4.46531,4.46531,4.46531,4.46531,4.63317,10.45563,8.9317,8.99364,9.00178,8.74443,8.74443,8.74443,8.74443,8.20779,8.20779,8.29305,8.20779,8.58023,8.39366,8.3801,8.20504,8.33623,8.39366,8.39366,8.39366,8.56883,8.0226,8.0226,8.0226,8.58023,9.98175,10.32754,11.41625,10.93685,10.23453,0.16611,0.16611,0.0,0.15974,4.47625,3.959,5.16745,5.51956,5.34319,4.99232,5.34319,5.16745,5.16745,5.51956,4.64986,3.959
SC_sco_SC_sco_L905_COI,4.81193,4.64388,4.81193,4.81193,4.81193,4.64388,4.63832,5.51956,5.51956,5.51956,5.51956,5.71377,5.59449,5.34319,5.34319,5.34319,5.34319,5.34319,5.34319,5.34319,5.34319,5.34319,5.34319,4.13082,4.64986,4.13082,4.13082,4.47625,4.47625,4.13082,4.13082,4.30323,4.13082,4.13082,4.13082,4.13082,4.13082,4.2929,4.2929,4.2929,4.2929,4.2929,4.2929,4.2929,4.46046,10.26258,8.74443,8.80496,8.80531,8.55787,8.55787,8.55787,8.55787,8.0226,8.0226,8.10578,8.0226,8.39366,8.20779,8.19071,8.016,8.13977,8.20779,8.20779,8.20779,8.38261,7.8381,7.8381,7.8381,8.39366,9.78175,10.12714,11.18423,10.73725,10.03612,0.0,0.0,0.15974,0.0,4.30323,3.78777,4.99232,5.34319,5.16745,4.8178,5.16745,4.99232,4.99232,5.34319,4.47625,3.78777
SC_vit_SC_vit_L0613_COIF,2.94029,2.77568,2.94029,2.94029,2.94029,2.77568,2.7725,5.35801,5.35801,5.35801,5.35801,5.54225,5.43082,4.48233,4.83076,4.48233,4.48233,4.48233,4.48233,4.48233,4.48233,4.48233,4.48233,2.11758,2.61926,2.11758,2.11758,2.45147,2.45147,2.11758,2.11758,2.28425,2.11758,2.11758,2.11758,2.11758,2.11758,2.43861,2.43861,2.43861,2.43861,2.43861,2.43861,2.43861,2.60278,10.07027,9.14414,9.20786,9.22551,8.95547,8.95547,8.95547,8.95547,8.95547,8.58023,8.48102,8.95547,8.95547,8.7675,9.14494,8.77647,9.1299,8.7675,8.7675,8.7675,8.59208,8.95547,8.95547,8.95547,8.95547,9.58255,9.72873,10.511,10.34042,9.64164,4.12228,4.12228,4.47625,4.30323,0.0,0.48077,2.28072,2.28072,2.78323,2.44766,2.78323,2.28072,2.28072,2.78323,0.48077,0.48077
SC_vit_SC_vit_L0750_COIF,2.7725,2.60818,2.7725,2.7725,2.7725,2.60818,2.60528,5.18164,5.18164,5.18164,5.18164,5.35357,5.25193,4.65624,5.0059,4.65624,4.65624,4.65624,4.65624,4.65624,4.65624,4.65624,4.65624,1.62089,2.11758,1.62089,1.62089,1.95147,1.95147,1.62089,1.62089,1.7859,1.62089,1.62089,1.62089,1.62089,1.62089,2.2725,2.2725,2.2725,2.2725,2.2725,2.2725,2.2725,2.43639,10.26258,8.95547,9.01774,9.02749,8.7675,8.7675,8.7675,8.7675,8.7675,8.39366,8.29305,8.7675,8.7675,8.58023,8.95263,8.58527,8.9303,8.58023,8.58023,8.58023,8.40516,8.7675,8.7675,8.7675,8.7675,9.78175,9.92754,10.74036,10.53844,9.83849,3.58847,3.58847,3.959,3.78777,0.48077,0.0,1.7832,2.11433,2.28072,1.94849,2.28072,1.7832,1.7832,2.28072,0.64206,0.0
SC_vit_SC_vit_L100_COI,3.61292,3.44705,3.61292,3.61292,3.61292,3.44705,3.44314,6.06089,6.06089,6.06089,6.06089,6.1027,6.14373,5.52707,5.88231,5.52707,5.52707,5.52707,5.52707,5.52707,5.52707,5.52707,5.52707,2.78323,3.29085,2.78323,2.78323,3.12107,3.12107,2.78323,2.78323,2.95187,2.78323,2.78323,2.78323,2.78323,2.78323,3.44314,3.44314,3.44314,3.44314,3.44314,3.44314,3.44314,3.60912,9.86569,9.13168,9.19522,9.01439,8.94336,8.94336,8.94336,8.94336,8.56883,8.19708,8.09519,8.56883,8.56883,8.38261,8.74916,8.38358,8.71934,8.38261,8.38261,8.38261,8.20779,8.56883,8.56883,8.56883,8.56883,9.56975,9.51806,10.04001,10.12946,9.62883,4.83653,4.83653,5.16745,4.99232,2.28072,1.7832,0.0,0.32,0.48077,0.15974,0.48077,0.0,0.0,0.48077,2.44766,1.7832
